expiry,totalOI.x,totalOIdiff.x,n.x,totalOI.y,totalOIdiff.y,n.y,ITM_pct,OI_diff_pct,OI_ITM_diff_pct
2023-08-04,178557276,5687830,145,168035810,3781584,97,0.941075120344018,0.0318543725991877,0.0225046316020377
2023-08-11,162164484,7596127,118,132030432,2994138,76,0.814176006627937,0.0468421124813002,0.0226776354105999
2023-08-18,2582648111,16247571,166,2533980939,13492708,118,0.981156096414096,0.00629105100721947,0.00532470777200271
2023-08-25,135000609,7843536,115,112293201,4058409,75,0.831797736556877,0.0581000045710905,0.0361411818690608
2023-09-01,112622380,13851030,109,100278767,9191085,69,0.890398222804384,0.122986479241515,0.0916553451440024
2023-09-08,12254199,2147989,93,11046615,1650736,54,0.901455492929403,0.175285957082956,0.149433650036685
2023-09-15,2485440825,31577600.0000001,206,2358973758,20765986.0000001,149,0.949116846505489,0.0127050299014864,0.00880297456874045
2023-09-29,394307580,6359326,166,370470520,5667519,122,0.939547040916637,0.0161278309689101,0.0152981646150954
2023-10-20,598704745,11206352,111,519118414,4535884.99999999,68,0.86706914941855,0.0187176602383534,0.00873766924399639
2023-11-17,148063100,2506738,108,115993128,961257,90,0.783403346276013,0.0169302007049697,0.00828718922038209
2023-12-15,1532845739,11021298,240,1318589311,-704792.000000027,152,0.860223098418386,0.00719008946535616,-0.000534504560381672
